Entity,Code,Day,"Birth rate per day, on a monthly basis"
Spain,ESP,2015-05-31,24.31562
Spain,ESP,2015-06-30,24.267994
Spain,ESP,2015-07-31,25.190554
Spain,ESP,2015-08-31,24.561674
Spain,ESP,2015-09-30,26.227537
Spain,ESP,2015-10-31,25.397709
Spain,ESP,2015-11-30,24.986725
Spain,ESP,2015-12-31,24.310226
Spain,ESP,2016-01-31,23.867619
Spain,ESP,2016-02-29,23.746056
Spain,ESP,2016-03-31,23.726593
Spain,ESP,2016-04-30,22.699448
Spain,ESP,2016-05-31,23.127789
Spain,ESP,2016-06-30,24.445126
Spain,ESP,2016-07-31,24.763788
Spain,ESP,2016-08-31,25.02967
Spain,ESP,2016-09-30,25.827972
Spain,ESP,2016-10-31,24.669754
Spain,ESP,2016-11-30,23.801273
Spain,ESP,2016-12-31,22.864977
Spain,ESP,2017-01-31,22.5827
Spain,ESP,2017-02-28,22.772537
Spain,ESP,2017-03-31,22.68488
Spain,ESP,2017-04-30,21.925674
Spain,ESP,2017-05-31,22.60047
Spain,ESP,2017-06-30,22.868385
Spain,ESP,2017-07-31,23.460503
Spain,ESP,2017-08-31,23.473534
Spain,ESP,2017-09-30,24.018284
Spain,ESP,2017-10-31,24.163477
Spain,ESP,2017-11-30,23.725637
Spain,ESP,2017-12-31,22.031067
Spain,ESP,2018-01-31,21.86808
Spain,ESP,2018-02-28,21.498528
Spain,ESP,2018-03-31,20.873363
Spain,ESP,2018-04-30,20.91323
Spain,ESP,2018-05-31,21.335876
Spain,ESP,2018-06-30,21.661089
Spain,ESP,2018-07-31,22.305063
Spain,ESP,2018-08-31,22.651072
Spain,ESP,2018-09-30,22.229765
Spain,ESP,2018-10-31,22.638271
Spain,ESP,2018-11-30,21.725533
Spain,ESP,2018-12-31,20.973715
Spain,ESP,2019-01-31,21.218447
Spain,ESP,2019-02-28,20.786621
Spain,ESP,2019-03-31,20.141085
Spain,ESP,2019-04-30,20.405546
Spain,ESP,2019-05-31,20.385996
Spain,ESP,2019-06-30,20.160582
Spain,ESP,2019-07-31,21.450464
Spain,ESP,2019-08-31,21.301813
Spain,ESP,2019-09-30,21.960222
Spain,ESP,2019-10-31,21.792223
Spain,ESP,2019-11-30,20.889896
Spain,ESP,2019-12-31,19.917212
Spain,ESP,2020-01-31,20.66739
Spain,ESP,2020-02-29,19.560139
Spain,ESP,2020-03-31,19.94485
Spain,ESP,2020-04-30,19.166527
Spain,ESP,2020-05-31,19.380142
Spain,ESP,2020-06-30,19.86193
Spain,ESP,2020-07-31,20.43626
Spain,ESP,2020-08-31,20.164175
Spain,ESP,2020-09-30,21.312378
Spain,ESP,2020-10-31,20.604086
Spain,ESP,2020-11-30,18.801014
Spain,ESP,2020-12-31,15.9640255
Spain,ESP,2021-01-31,16.24542
Spain,ESP,2021-02-28,18.366695
Spain,ESP,2021-03-31,19.72446
Spain,ESP,2021-04-30,19.166292
Spain,ESP,2021-05-31,18.750576
Spain,ESP,2021-06-30,19.324137
Spain,ESP,2021-07-31,20.72612
Spain,ESP,2021-08-31,20.104303
Spain,ESP,2021-09-30,21.193386
Spain,ESP,2021-10-31,20.439981
Spain,ESP,2021-11-30,19.947578
Spain,ESP,2021-12-31,19.382677
Spain,ESP,2022-01-31,18.81249
Spain,ESP,2022-02-28,18.716883
Spain,ESP,2022-03-31,18.474716
Spain,ESP,2022-04-30,17.739624
Spain,ESP,2022-05-31,18.212093
Spain,ESP,2022-06-30,18.947495
Spain,ESP,2022-07-31,19.389744
Spain,ESP,2022-08-31,19.58123
Spain,ESP,2022-09-30,19.539015
Spain,ESP,2022-10-31,18.80557
Spain,ESP,2022-11-30,19.665728
Spain,ESP,2022-12-31,18.362186
Spain,ESP,2023-01-31,18.08685
Spain,ESP,2023-02-28,18.090843
Spain,ESP,2023-03-31,17.589638
Spain,ESP,2023-04-30,17.178083
Spain,ESP,2023-05-31,17.337553
Spain,ESP,2023-06-30,18.10297
Spain,ESP,2023-07-31,18.259125
Spain,ESP,2023-08-31,18.482697
Spain,ESP,2023-09-30,18.794786
Spain,ESP,2023-10-31,19.045008
Spain,ESP,2023-11-30,18.734446
Spain,ESP,2023-12-31,17.830421